APO,2011,Finance,Investment Managers
BKU,2011,Finance,Savings Institutions
EMG,2011,Finance,Life Insurance
GZT,2011,Finance,Real Estate
MN,2011,Finance,Investment Managers
HCA,2011,Health Care,Hospital/Nursing Management
NLSN,2011,Miscellaneous,Business Services
AMID,2011,Public Utilities,Natural Gas Distribution
GNE,2011,Public Utilities,Power Generation
KMI,2011,Public Utilities,Natural Gas Distribution
LVLT,2011,Public Utilities,Telecommunications Equipment
AL,2011,Technology,Diversified Commercial Services
RATE,2011,Technology,EDP Services
ELLI,2011,Technology,Computer Software: Prepackaged Software
IMPV,2011,Technology,Computer Software: Prepackaged Software
INXN,2011,Technology,"Computer Software: Programming, Data Processing"
INVN,2011,Technology,Semiconductors
LNKD,2011,Technology,"Computer Software: Programming, Data Processing"
MX,2011,Technology,Semiconductors
NPTN,2011,Technology,Semiconductors
NQ,2011,Technology,Computer Software: Prepackaged Software
RENN,2011,Technology,EDP Services
SQNS,2011,Technology,Semiconductors
HCLP,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LXFR,2012,Basic Industries,Major Chemicals
SLCA,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ALSN,2012,Capital Goods,Auto Parts:O.E.M.
CPAC,2012,Capital Goods,Building Materials
MRC,2012,Capital Goods,Industrial Machinery/Components
PRLB,2012,Capital Goods,Metal Fabrications
VCRA,2012,Consumer Durables,Telecommunications Equipment
ANFI,2012,Consumer Non-Durables,Packaged Foods
BERY,2012,Consumer Non-Durables,Plastic Products
POST,2012,Consumer Non-Durables,Packaged Foods
WWAV,2012,Consumer Non-Durables,Packaged Foods
ACRE,2012,Consumer Services,Real Estate Investment Trusts
CCV,2012,Consumer Services,Television Services
EQCO,2012,Consumer Services,Real Estate Investment Trusts
GLOG,2012,Consumer Services,Marine Transportation
MANU,2012,Consumer Services,Services-Misc. Amusement & Recreation
NGVC,2012,Consumer Services,Food Chains
RH,2012,Consumer Services,Other Specialty Stores
RPAI,2012,Consumer Services,Real Estate Investment Trusts
SBY,2012,Consumer Services,Real Estate Investment Trusts
TLYS,2012,Consumer Services,Clothing/Shoe/Accessory Stores
VIPS,2012,Consumer Services,Catalog/Specialty Distribution
WMC,2012,Consumer Services,Real Estate Investment Trusts
YELP,2012,Consumer Services,Other Consumer Services
ALDW,2012,Energy,Integrated oil Companies
CAPL,2012,Energy,Oil Refining/Marketing
DKL,2012,Energy,Natural Gas Distribution
FET,2012,Energy,Metal Fabrications
MTDR,2012,Energy,Oil & Gas Production
MPLX,2012,Energy,Natural Gas Distribution
ROYT,2012,Energy,Oil & Gas Production
PBF,2012,Energy,Integrated oil Companies
SDR,2012,Energy,Oil & Gas Production
SDLP,2012,Energy,Oil & Gas Production
SUN,2012,Energy,Oil Refining/Marketing
MGR,2012,Finance,Investment Managers
AFA,2012,Finance,Property-Casualty Insurers
BGCA,2012,Finance,Investment Bankers/Brokers/Service
EVER,2012,Finance,Savings Institutions
BSMX,2012,Finance,Commercial Banks
KWN,2012,Finance,Real Estate
MHNB,2012,Finance,Property-Casualty Insurers
NBHC,2012,Finance,Major Banks
NSM,2012,Finance,Finance: Consumer Services
OAK,2012,Finance,Investment Managers
RLGY,2012,Finance,Real Estate
RM,2012,Finance,Finance: Consumer Services
ABBV,2012,Health Care,Major Pharmaceuticals
GMED,2012,Health Care,Medical/Dental Instruments
VNTV,2012,Miscellaneous,Business Services
WAGE,2012,Miscellaneous,Business Services
EQM,2012,Public Utilities,Natural Gas Distribution
SXE,2012,Public Utilities,Natural Gas Distribution
SMLP,2012,Public Utilities,Natural Gas Distribution
WGP,2012,Public Utilities,Natural Gas Distribution
EPAM,2012,Technology,EDP Services
GWRE,2012,Technology,Computer Software: Prepackaged Software
LOCK,2012,Technology,EDP Services
PANW,2012,Technology,Computer peripheral equipment
RXN,2012,Technology,Industrial Machinery/Components
NOW,2012,Technology,Computer Software: Prepackaged Software
SSTK,2012,Technology,EDP Services
WDAY,2012,Technology,EDP Services
BIOA,2013,Basic Industries,Major Chemicals
CINR,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CSTM,2013,Basic Industries,Metal Fabrications
EMES,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
EVGN,2013,Basic Industries,Agricultural Chemicals
GRAM,2013,Basic Industries,Military/Government/Technical
OCIP,2013,Basic Industries,Major Chemicals
PGEM,2013,Basic Industries,Forest Products
SXCP,2013,Basic Industries,Steel/Iron Ore
CNHI,2013,Capital Goods,Construction/Ag Equipment/Trucks
BRSS,2013,Capital Goods,Metal Fabrications
WLH,2013,Capital Goods,Homebuilding
